,iso6393,glottocode,aes_status
712,bis,bisl1239,not endangered
713,bit,beri1253,shifting
714,biu,biet1238,threatened
715,biv,sout2790,not endangered
716,biw,kolc1235,not endangered
717,bix,bijo1238,threatened
718,biy,birh1242,shifting
719,biz,balo1261,not endangered
720,bja,budz1238,not endangered
721,bjb,bang1339,extinct
722,bjc,bari1290,not endangered
723,bje,biao1254,not endangered
724,bjf,barz1241,nearly extinct
725,bjg,bidy1244,not endangered
726,bjh,bahi1254,threatened
727,bji,burj1242,threatened
728,bjj,kana1281,threatened
729,bjk,baro1253,threatened
730,bjl,bulu1253,shifting
731,bjm,baje1238,threatened
732,bjn,banj1239,not endangered
733,bjo,mids1243,not endangered
734,bjr,binu1245,not endangered
735,bjs,baja1265,not endangered
736,bjt,bala1302,threatened
737,bju,busu1244,extinct
738,bjv,bedj1245,not endangered
739,bjw,bakw1243,not endangered
740,bjx,bana1288,not endangered
741,bjy,baya1257,extinct
742,bjz,baru1269,not endangered
743,bka,kyak1243,not endangered
744,bkc,baka1272,threatened
745,bkd,binu1244,not endangered
746,bkf,beek1238,shifting
747,bkg,bura1269,threatened
748,bkh,bako1249,not endangered
749,bki,baki1244,shifting
750,bkj,pand1264,shifting
751,bkk,brok1247,shifting
752,bkl,beri1254,threatened
753,bkm,komc1235,not endangered
754,bkn,buki1248,threatened
755,bko,kwaa1265,shifting
756,bkp,boko1263,not endangered
757,bkq,baka1277,shifting
758,bkr,baku1263,not endangered
759,bks,masb1237,not endangered
760,bkt,bolo1262,shifting
761,bku,buhi1245,not endangered
762,bkv,bekw1241,not endangered
763,bkw,bekw1242,not endangered
764,bkx,baik1238,threatened
765,bky,boky1238,not endangered
766,bkz,bung1269,threatened
767,bla,siks1238,moribund
768,blb,bilu1245,shifting
769,blc,bell1243,nearly extinct
770,bld,bola1252,threatened
771,ble,bala1301,threatened
772,blf,buol1237,not endangered
773,blg,bala1306,threatened
774,blh,kuwa1247,not endangered
775,bli,boli1255,not endangered
776,blj,bolo1268,threatened
777,blk,paok1235,not endangered
778,bll,bilo1248,extinct
779,blm,beli1257,shifting
780,bln,sout2912,not endangered
781,blo,anii1245,threatened
782,blp,blab1237,shifting
783,blq,balu1257,not endangered
784,blr,blan1242,not endangered
785,bls,bala1314,shifting
786,blt,taid1247,not endangered
787,blv,bolo1261,threatened
788,blw,bala1310,not endangered
789,blx,magi1241,threatened
790,bly,notr1240,threatened
791,blz,bala1315,threatened
792,bma,lame1257,not endangered
793,bmb,bemb1255,shifting
794,bmc,biem1237,not endangered
795,bmd,baga1270,shifting
796,bme,lima1246,shifting
797,bmf,bomk1234,nearly extinct
798,bmg,bamw1238,not endangered
799,bmh,kein1239,threatened
800,bmi,bagi1246,not endangered
801,bmj,bote1238,threatened
802,bmk,ghay1237,not endangered
803,bml,bomb1261,shifting
804,bmm,nort2890,not endangered
805,bmn,bina1271,extinct
806,bmo,bamb1265,not endangered
807,bmp,bulg1265,moribund
808,bmq,bomu1247,not endangered
809,bmr,muin1242,moribund
810,bms,bilm1238,not endangered
811,bmt,biao1256,threatened
812,bmu,buru1306,not endangered
813,bmv,bumm1238,not endangered
814,bmw,bomw1238,not endangered
815,bmx,baim1245,not endangered
816,bmz,bara1378,not endangered
817,bna,bone1254,not endangered
818,bnb,book1241,shifting
819,bnd,band1355,shifting
820,bne,bint1245,shifting
821,bnf,masi1266,threatened
822,bng,beng1282,moribund
823,bni,bang1354,threatened
824,bnj,east2482,threatened
825,bnk,bier1244,shifting
826,bnl,boon1242,moribund
827,bnm,bata1285,shifting
828,bnn,bunu1267,threatened
829,bno,bant1288,not endangered
830,bnp,bola1250,threatened
831,bnq,bant1286,moribund
832,bnr,butm1237,shifting
833,bns,bund1253,not endangered
834,bnu,bent1237,threatened
835,bnv,bone1255,nearly extinct
836,bnw,bisi1244,shifting
837,bnx,bang1350,not endangered
838,bny,bint1246,threatened
839,bnz,beez1238,shifting
840,boa,bora1263,threatened
841,bob,awee1242,shifting
842,bod,tibe1272,not endangered
843,boe,mund1328,shifting
844,bof,bolo1266,not endangered
845,bog,bama1249,shifting
846,boh,boma1246,not endangered
847,boi,barb1263,extinct
848,boj,anja1238,threatened
849,bok,bonj1234,shifting
850,bol,nucl1695,not endangered
851,bom,bero1242,not endangered
852,bon,bine1240,not endangered
853,boo,tiem1235,not endangered
854,bop,bonk1244,shifting
855,boq,boga1247,shifting
856,bor,boro1282,shifting
857,bos,bosn1245,threatened
858,bot,bong1285,threatened
859,bou,bond1247,threatened
860,bov,tuwu1238,threatened
861,bow,rema1238,moribund
862,box,buam1238,not endangered
863,boy,bodo1272,moribund
864,boz,tiey1235,not endangered
865,bpa,daka1243,not endangered
866,bpd,band1343,not endangered
867,bpg,bong1287,moribund
868,bph,botl1242,shifting
869,bpi,bagu1252,shifting
870,bpj,binj1249,not endangered
871,bpk,orow1242,shifting
872,bpl,broo1238,extinct
873,bpm,biyo1244,threatened
874,bpn,dzao1238,not endangered
875,bpo,anas1239,threatened
876,bpp,kaur1271,shifting
877,bpq,band1353,threatened
878,bpr,koro1310,not endangered
879,bps,sara1326,not endangered
880,bpt,barr1247,extinct
881,bpu,bong1291,threatened
882,bpv,bian1251,shifting
883,bpw,bopa1235,moribund
884,bpx,paly1238,not endangered
885,bpy,bish1244,threatened
886,bpz,bilb1242,not endangered
887,bqa,tchu1241,moribund
888,bqb,bagu1251,not endangered
889,bqc,boko1266,not endangered
890,bqd,bung1259,extinct
891,bqf,baga1271,extinct
892,bqg,bago1245,shifting
893,bqh,baim1244,shifting
894,bqi,bakh1245,not endangered
895,bqj,band1340,shifting
896,bqk,band1342,not endangered
897,bql,bila1257,shifting
898,bqm,wumb1241,threatened
899,bqn,bulg1240,not endangered
900,bqo,balo1264,threatened
901,bqp,busa1253,not endangered
902,bqq,biri1259,shifting
903,bqr,buru1304,threatened
904,bqs,bosn1248,shifting
905,bqt,bamu1254,not endangered
906,bqu,bogu1241,shifting
907,bqv,begb1241,threatened
908,bqw,buru1299,threatened
909,bqx,baan1242,shifting
910,bqy,beng1239,shifting
911,bqz,baka1273,threatened
912,bra,braj1242,not endangered
913,brb,lave1249,threatened
914,brc,berb1259,extinct
915,brd,bara1357,nearly extinct
916,bre,bret1244,not endangered
917,brf,bera1259,threatened
918,brg,baur1253,nearly extinct
919,brh,brah1256,threatened
920,bri,mokp1239,threatened
921,brj,bier1246,moribund
922,brk,birk1242,extinct
