,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
2391,Sierra Totonac,"Totozoquean, \xa, Totonacan, Totonac, Central, Lowland–Sierra, Sierra Totonac","Totozoquean, \xa, Totonacan, Totonac, Central, Lowland–Sierra, Sierra Totonac",Either:titletoctitle – Coyutla Totonactitletostitle – (other varieties),lowl1244,Uknown,Puebla and Veracruz,Unknown,Unknown,https://en.wikipedia.org/wiki/Sierra_Totonac_language
2392,Sierra_Leone,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sierra_Leone
2393,Siglitun,"Eskaleut, Eskimo, Inuit, Inuvialuktun, Siglitun","Eskaleut, Eskimo, Inuit, Inuvialuktun, Siglitun",–,sigl1242,Uknown,"Northwest Territories (Canada), as ""Inuvialuktun""",Unknown,Unknown,https://en.wikipedia.org/wiki/Siglitun
2394,Sigu,"Niger–Congo,Atlantic–Congo, Benue–Congo, Bantoid, Bantu,  (, Zone B, ), Kele,  (b. ), Sigu","Niger–Congo,Atlantic–Congo, Benue–Congo, Bantoid, Bantu,  (, Zone B, ), Kele,  (b. ), Sigu",sxe,sigh1238,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sighu_language
2395,Sikiana,"Cariban, Parukotoan, Sikiana–Salumá, Sikiana","Cariban, Parukotoan, Sikiana–Salumá, Sikiana",Either:titlesiktitle – Shikuyana (Sikiana)titlekbbtitle – Warikyana (Kaxuiâna),siki1239title  Sikianatitlekaxu1237title  Kaxuiânatitlepaux1235title  Pauxi,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Katxuyana_language
2396,Sikkim,Uknown,Uknown,Not provided,,Uknown,Northeast India,Unknown,Unknown,https://en.wikipedia.org/wiki/Sikkim
2397,Sikkimese,"Sino-Tibetan, Tibeto-Burman, Tibeto-Kanauri,  Bodish, Tibetic, Dzongkha–Lhokä, Sikkimese","Sino-Tibetan, Tibeto-Burman, Tibeto-Kanauri,  Bodish, Tibetic, Dzongkha–Lhokä, Sikkimese",sip,sikk1242,"70,000 ","Sikkim, Nepal (Koshi Province), and Bhutan"," India
Sikkim
",Unknown,https://en.wikipedia.org/wiki/Sikkimese_language
2398,Siksika,"Algic, Algonquian, Siksika","Algic, Algonquian, Siksika",bla,siks1238,"2,900 ","Piikani Nation, Siksika Nation, and Kainai Nation in southern Alberta; Blackfeet Nation in Montana",Unknown,Unknown,https://en.wikipedia.org/wiki/Blackfoot_language
2399,Silesian,"Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, , East Lechitic, Silesian","Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, , East Lechitic, Silesian",szl,sile1253,"457,900 ",Silesia,Unknown,Unknown,https://en.wikipedia.org/wiki/Silesian_language
2400,Sindh,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sindh
2401,Sindhi,"Indo-European, Indo-Iranian, Indo-Aryan, Northwestern, Sindhic, Sindhi","Indo-European, Indo-Iranian, Indo-Aryan, Northwestern, Sindhic, Sindhi",snd,sind1272title  Sindhi,c. 32 million ,Sindh and near the border in neighbouring regions such as Kutch and Balochistan,"
Pakistan
Sindh (provincial official)
India (scheduled language)
",Unknown,https://en.wikipedia.org/wiki/Sindhi_language
2402,Singapore,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Singapore
2403,Singpho,"Sino-Tibetan, Tibeto-Burman, Sal, Jingpho–Luish, Jingpho, Singpho","Sino-Tibetan, Tibeto-Burman, Sal, Jingpho–Luish, Jingpho, Singpho",sgp,sing1264,"2,500 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Singpho_language
